Date,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
2018-12-01,-3.1,72,-7.4,1019.1,0.1,0.2,204° (SSW),1.2,560.4,1.2,1.3,-7.0,77,67,1021.0,1017.0,1.5,2.1,1.3
2018-12-02,-0.1,79,-3.3,1019.4,0.2,0.4,223° (SW),2.4,561.6,1.2,4.7,-4.9,83,75,1021.0,1018.0,2.1,2.6,4.7
2018-12-03,-1.4,86,-3.4,1016.2,0.0,0.1,272° (W),2.4,561.6,0.0,4.7,-4.5,90,82,1019.0,1014.0,1.5,2.1,4.7
2018-12-04,0.9,88,-1.0,1012.5,0.0,0.1,297° (WNW),2.4,561.6,0.0,5.5,-3.7,93,81,1015.0,1010.0,1.5,2.1,5.5
2018-12-05,3.4,69,-2.2,1017.5,2.7,4.1,334° (NNW),2.4,561.6,0.0,5.0,1.3,85,49,1022.0,1013.0,6.7,10.8,5.0
2018-12-06,0.5,57,-7.2,1021.4,1.8,2.7,340° (NNW),2.4,561.6,0.0,4.4,-5.5,70,50,1023.0,1020.0,4.1,6.7,4.4
2018-12-07,-2.0,61,-8.9,1019.4,0.6,0.9,328° (NNW),2.4,561.6,0.0,6.6,-8.7,84,40,1022.0,1016.0,4.1,5.7,6.6
2018-12-08,-0.8,63,-7.1,1012.4,0.0,0.1,231° (SW),2.4,561.6,0.0,4.3,-6.0,77,53,1016.0,1011.0,1.5,1.5,4.3
2018-12-09,1.4,73,-2.9,1009.0,1.3,1.9,348° (NNW),2.4,561.6,0.0,5.5,-2.3,85,64,1011.0,1007.0,4.1,7.2,5.5
2018-12-10,1.0,85,-1.2,1006.6,1.1,1.8,338° (NNW),3.6,562.8,1.2,2.6,-0.6,88,78,1010.0,1004.0,4.1,5.7,2.6
2018-12-11,0.3,64,-5.9,1011.3,2.5,3.6,331° (NNW),3.6,562.8,0.0,4.1,-3.1,87,49,1014.0,1008.0,6.2,11.3,4.1
2018-12-12,0.2,61,-6.6,1015.2,1.6,2.4,337° (NNW),3.6,562.8,0.0,3.7,-2.9,70,50,1018.0,1014.0,5.7,7.7,3.7
2018-12-13,-1.2,58,-8.5,1016.8,0.1,0.2,283° (WNW),3.6,562.8,0.0,4.1,-6.5,75,43,1018.0,1015.0,2.1,2.6,4.1
2018-12-14,-0.4,73,-4.6,1016.3,0.6,1.1,146° (SE),3.6,562.8,0.0,1.3,-2.6,84,65,1017.0,1015.0,3.1,4.6,1.3
2018-12-15,1.9,89,0.3,1014.8,0.1,0.4,182° (S),3.6,562.8,0.0,3.6,0.4,93,84,1016.0,1013.0,1.5,2.6,3.6
2018-12-16,1.3,94,0.3,1013.4,1.8,3.0,328° (NNW),6.0,565.2,1.2,6.6,-3.1,94,93,1017.0,1010.0,6.2,9.3,6.6
2018-12-17,-2.0,87,-3.8,1015.7,2.3,3.3,326° (NNW),6.0,565.2,0.0,0.4,-3.6,94,76,1018.0,1014.0,4.1,6.2,0.4
2018-12-18,-1.7,79,-4.8,1019.7,2.7,3.7,327° (NNW),6.0,565.2,0.0,-0.5,-2.7,83,76,1022.0,1017.0,4.6,5.7,-0.5
2018-12-19,-2.7,72,-7.2,1021.9,1.9,2.8,341° (NNW),6.0,565.2,0.0,0.2,-6.0,76,66,1024.0,1020.0,4.6,6.7,0.2
2018-12-20,-5.2,78,-8.5,1023.5,0.2,0.5,304° (NW),6.0,565.2,0.0,-2.2,-8.9,84,72,1025.0,1022.0,2.1,3.1,-2.2
2018-12-21,-4.1,76,-7.7,1023.5,0.1,0.1,117° (ESE),6.0,565.2,0.0,2.3,-8.4,86,69,1024.0,1022.0,2.1,2.6,2.3
2018-12-22,-2.5,75,-6.4,1019.6,0.1,0.2,244° (WSW),6.0,565.2,0.0,4.3,-8.4,86,66,1022.0,1017.0,2.1,2.6,4.3
2018-12-23,4.5,83,1.8,1019.9,2.3,3.3,340° (NNW),15.6,574.8,1.2,9.1,-0.8,90,76,1022.0,1018.0,7.7,10.3,9.1
2018-12-24,4.5,72,-0.5,1013.0,1.9,2.8,329° (NNW),15.6,574.8,0.0,13.2,-0.3,92,44,1020.0,1006.0,8.7,13.9,13.2
2018-12-25,0.3,58,-7.1,1018.6,4.3,6.0,329° (NNW),15.6,574.8,0.0,5.3,-3.0,67,38,1022.0,1015.0,8.2,11.3,5.3
2018-12-26,-0.5,58,-7.8,1022.3,3.0,4.3,320° (NW),15.6,574.8,0.0,3.5,-4.7,71,46,1024.0,1021.0,6.7,8.7,3.5
2018-12-27,0.6,60,-6.3,1021.6,3.1,4.3,327° (NNW),15.6,574.8,0.0,3.0,-1.7,72,53,1023.0,1020.0,5.7,8.7,3.0
2018-12-28,2.0,65,-4.0,1019.5,2.3,3.3,338° (NNW),15.6,574.8,0.0,6.1,-1.9,75,52,1022.0,1017.0,5.7,8.7,6.1
2018-12-29,3.2,67,-2.5,1019.6,2.9,4.2,334° (NNW),15.6,574.8,0.0,4.4,0.6,81,58,1023.0,1017.0,6.2,8.7,4.4
2018-12-30,1.8,64,-4.5,1020.5,1.4,2.0,349° (N),15.6,574.8,0.0,4.5,0.2,72,51,1022.0,1019.0,3.6,5.7,4.5
2018-12-31,1.2,71,-3.6,1019.9,0.4,0.7,349° (N),15.6,574.8,0.0,3.7,-0.5,81,58,1022.0,1018.0,2.6,3.6,3.7
2019-01-01,0.5,66,-5.6,1020.9,0.5,0.9,256° (WSW),0.0,0.0,0.0,8.4,-5.2,85,40,1023.0,1017.0,2.6,4.1,8.4
2019-01-02,-1.3,65,-7.2,1011.8,1.9,2.9,335° (NNW),0.0,0.0,0.0,4.3,-6.0,82,50,1017.0,1009.0,5.1,8.7,4.3
2019-01-03,-1.4,71,-6.0,1011.3,2.0,2.9,327° (NNW),0.0,0.0,0.0,0.3,-3.7,82,61,1013.0,1010.0,4.1,6.2,0.3
2019-01-04,-4.1,69,-9.0,1016.9,1.3,1.9,322° (NW),0.0,0.0,0.0,-1.3,-6.0,76,59,1020.0,1013.0,3.1,5.7,-1.3
2019-01-05,-5.6,64,-11.4,1014.8,1.8,2.8,343° (NNW),0.0,0.0,0.0,-3.1,-9.8,76,57,1019.0,1011.0,4.1,6.7,-3.1
2019-01-06,-4.5,66,-10.0,1009.5,2.2,3.2,332° (NNW),0.0,0.0,0.0,-1.4,-9.7,71,59,1013.0,1006.0,6.2,8.7,-1.4
2019-01-07,-5.6,64,-11.3,1016.8,2.0,3.0,352° (N),0.0,0.0,0.0,-3.6,-9.0,74,57,1022.0,1012.0,4.6,7.2,-3.6
2019-01-08,-8.3,62,-14.3,1016.1,1.5,2.1,338° (NNW),0.0,0.0,0.0,-4.3,-11.4,69,57,1021.0,1010.0,4.6,7.2,-4.3
2019-01-09,-5.6,64,-11.4,1005.8,0.6,1.0,159° (SSE),0.0,0.0,0.0,-1.7,-9.1,73,53,1010.0,1002.0,3.1,5.7,-1.7
2019-01-10,-1.7,75,-5.6,1002.5,0.3,0.5,114° (ESE),0.0,0.0,0.0,1.0,-4.9,88,60,1005.0,1001.0,2.6,4.6,1.0
2019-01-11,-3.0,66,-8.5,1012.0,3.2,4.8,346° (NNW),1.2,1.2,1.2,0.1,-6.0,88,56,1016.0,1005.0,6.2,9.8,0.1
2019-01-12,-3.8,62,-10.1,1013.1,2.6,3.8,346° (NNW),1.2,1.2,0.0,-1.2,-5.7,71,53,1015.0,1011.0,5.7,9.8,-1.2
2019-01-13,-1.4,61,-7.9,1007.9,2.1,3.1,350° (N),1.2,1.2,0.0,2.5,-4.9,72,51,1012.0,1004.0,4.1,6.2,2.5
2019-01-14,-1.7,66,-7.3,1000.2,1.3,2.0,345° (NNW),1.2,1.2,0.0,3.3,-7.9,80,53,1004.0,998.0,6.2,8.2,3.3
2019-01-15,-2.1,50,-11.2,1007.1,3.8,5.5,330° (NNW),1.2,1.2,0.0,1.3,-5.5,60,44,1014.0,1001.0,7.7,10.8,1.3
2019-01-16,0.4,50,-8.9,1013.9,2.8,4.2,350° (N),1.2,1.2,0.0,6.5,-5.5,66,40,1017.0,1013.0,7.2,11.3,6.5
2019-01-17,0.0,58,-7.7,1016.2,0.6,0.9,314° (NW),1.2,1.2,0.0,9.0,-5.9,86,38,1018.0,1015.0,3.1,3.6,9.0
2019-01-18,-1.8,73,-6.3,1014.7,0.0,0.1,300° (WNW),1.2,1.2,0.0,6.0,-8.5,89,50,1016.0,1013.0,1.5,2.6,6.0
